Artist,Times Played,Artist - Song,Times Played
GLASS ANIMALS,16,"THE WOMBATS - SORRY I'M LATE, I DIDN'T WANT TO COME",9
MASTER PEACE,15,DJO - BASIC BEING BASIC,9
PIXEY,15,CHANNEL TRES X TORO Y MOI - ASPEN,9
CHARLI XCX,15,TYLER THE CREATOR - SUGAR ON MY TONGUE,9
AURORA,15,YOUNG FRANCO X PIRI X MC DT - GOING ON,9
HAYLEY WILLIAMS,15,CHARLI XCX - VON DUTCH,9
ROOSEVELT,14,SHELTER BOY - YOUR FAVOURITE SONG,9
DAÐI FREYR,14,TWO DOOR CINEMA CLUB - HAPPY CUSTOMERS,8
WIZTHEMC,14,MOGLII & HATAAH - LANTERN FIISH,8
CHAPPELL ROAN,14,DJO - LINK,8
FRIEDBERG,14,TYLER THE CREATOR - RING RING RING,8
LEYYA,14,NEIKED X PORTUGAL. THE MAN - GLIDE,8
GIRL IN RED,14,NOGA EREZ FEAT. DILLOM - AYAYAY,8
NILÜFER YANYA,14,YOUNG FRANCO X EARTHGANG & JAFUNK - LOSE CONTROL,8
COLDPLAY,14,JVKE - CLOUDS,8
SHELTER BOY,14,CONNOR PRICE - NOW WHAT?,8
TIWA SAVAGE & SKEPTA,14,CAUTIOUS CLAY - FADE BLUE,8
ÄTNA,13,OSCAR AND THE WOLF - SOMEBODY WITHOUT U,7
JUSTICE X TAME IMPALA,13,GIANT ROOKS - MIND CONTROL,7
BIIG PIIG,13,WIZTHEMC - SHOW ME LOVE,7
BILLIE EILISH,13,LONDON GRAMMAR - HOUSE,7
BILDERBUCH,13,MASTER PEACE - SAVE ME,7
BLUSH ALWAYS,13,DAYGLOW - EVERY LITTLE THING I SAY I DO,7
SAM FENDER,12,THE WOMBATS - CAN'T SAY NO,7
AMILLI,12,ORLA GARTLAND - LITTLE CHAOS,7
CATT,12,BETTEROV - 17. JULI 1989,7
OSCAR AND THE WOLF,11,LEYYA - PUMPED UP HIGH,7
YUMI ZOUMA,11,BIIG PIIG - DECIMAL,7
LONDON GRAMMAR,11,LP GIOBBI FEAT. PORTUGAL. THE MAN - BITTERSWEET,7
YUKNO,11,KRAFTKLUB - SCHIEF IN JEDEM CHOR,7
METRONOMY,11,FRED AGAIN.. & ANDERSON .PAAK - PLACES TO BE,7
ARCTIC MONKEYS,11,LEONIDEN - KEEP FUCKING UP,7
RIKAS,11,ALFIE TEMPLEMAN - HELLO LONELY,7
CHLOE SLATER,11,ALFIE TEMPLEMAN - SUBMARINE,7
JOESEF,11,GLASS ANIMALS - CREATURES IN HEAVEN,7
CIRCA WAVES,11,MASTER PEACE FEAT. WALE - HOME,7
WINSTON SURFSHIRT,10,THE AMAZONS - NIGHT AFTER NIGHT,7
BRUCKNER,10,BLUSH ALWAYS - JUST KEEP SWIMMING,7
JVKE,10,PIXEY - MILLION DOLLAR BABY,7
LUNA MORGENSTERN,10,DEINE COUSINE - KÖNIGIN VON DEUTSCHLAND,7
PURITY RING,10,ERROR - DAS GLÜCK GEHÖRT VERSAGERN,7
FIL BO RIVA,10,JOESEF - STEPHANIE'S PLACE,7
ARLO PARKS,10,HALF•ALIVE - AUTOMATIC,7
BOMBAY BICYCLE CLUB,10,PROVINZ - SOMMER MACHT MELANCHOLISCH,7
PINKPANTHERESS,10,JASSIN - BITTE SEI VORSICHTIG,7
CLAIRO,10,MISO EXTRA - POP,6
BON IVER,9,REMI WOLF - CINDERELLA,6
PHILINE SONNY,9,REMI WOLF - PITIFUL,6
ANAÏS,9,JUNGLE - LET'S GO BACK,6
JEREMIAS,9,JUNGLE - KEEP ME SATISFIED,6
CHANNEL TRES X TORO Y MOI,9,SAM FENDER - LITTLE BIT CLOSER,6
GIIRL,9,ZARTMANN - EEHHHYYY,6
HINDS,9,GOOD NEIGHBOURS - KEEP IT UP,6
YOUNG FRANCO X PIRI X MC DT,9,ÄTNA - LUCKY DANCER,6
BLINK-182,9,ÄTNA - HIATUS,6
LANA DEL REY,9,GIRL IN RED X SABRINA CARPENTER - YOU NEED ME NOW?,6
CASSIA,9,THE MARÍAS - RUN YOUR MOUTH,6
FLORENCE + THE MACHINE,9,ORLA GARTLAND - THE HIT,6
EVERYTHING EVERYTHING,9,FRIEDBERG - SO DOPE,6
UPSAHL,8,METRONOMY X PORIJ - PETIT BOY,6
DIE HÖCHSTE EISENBAHN,8,YOUNG FRANCO & MASTER PEACE - MUSIC SOUNDS BETTER WITH ME,6
PANDA LUX,8,GIRL IN RED - NEW LOVE,6
G FLIP,8,SOMBR - BACK TO FRIENDS,6
SOHN,8,CHLÖE & ANDERSON .PAAK - FAVORITE,6
LOUPE,8,HINDS FEAT. BECK - BOOM BOOM BACK,6
EDWIN ROSEN,8,ROSE GRAY - FREE,6
CHVRCHES,8,PURITY RING - MANY LIVES,6
MOGLII & HATAAH,8,YETUNDEY - VIEL ZU VIELE FEHLER,6
THE MARÍAS,8,CHLOE SLATER - FIG TREE,6
VON WEGEN LISBETH,8,JOY CROOKES - I KNOW YOU'D KILL,6
J. BERNARDT,8,ILLUMINATI HOTTIES - THE L,6
NEIKED X PORTUGAL. THE MAN,8,BANKS FEAT. SAMPHA - MAKE IT UP,6
BEABADOOBEE,8,CATT - JUNGLE OF ABUNDANCE,6
QUEENS OF THE STONE AGE,8,KATE KLEIN - STUCK,6
NOVAA,8,CIRCA WAVES - LET'S LEAVE TOGETHER,6
NOGA EREZ FEAT. DILLOM,8,BANKS FEAT. YSEULT - MOVE,6
YOUNG FRANCO X EARTHGANG & JAFUNK,8,DOECHII - ANXIETY,6
THE AMAZONS,8,LOLA YOUNG - BIG BROWN EYES,5
MUSE,8,AITCH X ANNE-MARIE - LUV?,5
CONNOR PRICE,8,SAM FENDER - PEOPLE WATCHING,5
ERROR,8,EDWIN ROSEN - SCHAU DIR ZU,5
OK KID,8,GOOD NEIGHBOURS - RIPPLE,5
PANTHA,8,SPARKLING - NOBODY,5
JOLLE,8,FRIEDBERG - HELLO,5
ALT-J,8,POM POM SQUAD - STREET FIGHTER,5
LINKIN PARK,8,BIIG PIIG - FAVOURITE GIRL,5
NOTHING BUT THIEVES,8,PUDELDAME - YOYO,5
CAUTIOUS CLAY,8,BILLIE EILISH - LUNCH,5
KAKKMADDAFAKKA,7,BILLIE EILISH - BIRDS OF A FEATHER,5
ALMOST MONDAY,7,GRETEL - FAR OUT,5
TOM ODELL,7,ALFIE TEMPLEMAN FEAT. NILE RODGERS - JUST A DANCE,5
FOALS,7,AB SYNDROM FEAT. TRILLE - BLINDFLUG,5
MILLENIUMKID,7,CHLOE SLATER - SUCKER,5
THE TEMPER TRAP,7,SIGGI - MONTAG,5
LP GIOBBI FEAT. PORTUGAL. THE MAN,7,PAULA HARTMANN X TRETTMANN - ATLANTIS,5
BOY,7,ORLA GARTLAND FEAT. DECLAN MCKENNA - LATE TO THE PARTY,5
FRED AGAIN.. & ANDERSON .PAAK,7,THE NOTWIST - KONG,5
JAKE BUGG,7,MONTAIGNE - EVERYBODY ELSE,5
STROMAE,7,JULIE KUHL - PURPLE EYELIDS,5
MASTER PEACE FEAT. WALE,7,APSILON X PAULA HARTMANN - GRAU,5
BBY,7,HARD LIFE - OTHELLO,4
ROSE GRAY,7,LOLA YOUNG - FLICKER OF LIGHT,4
K.FLAY,7,LOLA YOUNG - MESSY,4
JASCHA,7,REMI WOLF - TORO,4
ANNENMAYKANTEREIT,7,HAIM - RELATIONSHIPS,4
JOY CROOKES,7,NOGA EREZ - VANDALIST,4
COURTNEY BARNETT,7,DIE HÖCHSTE EISENBAHN - BÜROTAGE,4
DEINE COUSINE,7,PANDA LUX - NIEMAND,4
LA ROUX,7,PHILINE SONNY - IN DENIAL,4
MAXIMO PARK,7,PAULWETZ - NUR FÜR EINE NACHT,4
LAUREL,7,ZARTMANN - WIR HABEN'S ÜBERLEBT,4
BEATSTEAKS,7,ZARTMANN - TAU MICH AUF,4
OEHL,7,ZARTMANN - WUNDERSCHÖN,4
HALF•ALIVE,7,YUKNO - LIEB DICH,4
ROYAL BLOOD,7,MASTER PEACE - THIS TIME,4
TAME IMPALA,7,SPARKLING - I FEEL SO HIGH,4
PROVINZ,7,JEREMIAS - EIN MENSCH,4
ALICE PHOEBE LOU,7,"KRAFTKLUB - WENN ICH TOT BIN, FANG ICH WIEDER AN",4
MY UGLY CLEMENTINE,7,HINDS - SUPERSTAR,4
MINE,7,SPRINTS - DESCARTES,4
JASSIN,7,RAVYN LENAE - LOVE ME NOT,4
AMY WINEHOUSE,7,JASCHA - HIER,4
JISKA,7,BLUSH ALWAYS - FOND OF HER,4
RAZORLIGHT,6,NAO YOSHIOKA FEAT. JARREAU VANDAL - MY LOVE,4
MISO EXTRA,6,MALLRAT AND KITO - HOCUS POCUS,4
NEUFUNDLAND,6,CHARLI XCX - I THINK ABOUT IT ALL THE TIME,4
PAOLO NUTINI,6,PINKPANTHERESS - CLOSE TO YOU,4
GIRL IN RED X SABRINA CARPENTER,6,TRÄNEN - KOMM UND KÜSS MICH,4
DAFT PUNK,6,KITSCHKRIEG FEAT. ARZ - BABY,4
THE VACCINES,6,AURORA - TO BE ALRIGHT,4
THE 1975,6,CLAIRO - THANK YOU,4
METRONOMY X PORIJ,6,BEACH BUNNY - CLUELESS,4
YOUNG FRANCO & MASTER PEACE,6,THE LINDA LINDAS - ONCE UPON A TIME,4
MAC MILLER,6,AMILLI FEAT. SHELTER BOY - RAINCOATS,4
CHLÖE & ANDERSON .PAAK,6,WILLOW - RUN!,4
GRETEL,6,FUFFIFUFZICH & ALLI NEUMANN - NAVIGATOR,4
HINDS FEAT. BECK,6,BENEE - SAD BOIII,3
RY X,6,49TH & MAIN - SELF SABOTAGE,3
MAVI PHOENIX,6,LOLA YOUNG - HOOKMB LOLA YOUNG - MESSY,3
RED HOT CHILI PEPPERS,6,ROOSEVELT - AUTOMATIC,3
YETUNDEY,6,TOTAL TOMMY - PLUS ONE,3
THE STREETS,6,HAIM - DOWN TO BE WRONG,3
WANDA,6,SHARKTANK - H-A-P-P-Y,3
SIGGI,6,KENYA GRACE - IT'S NOT FAIR,3
KINGS OF LEON,6,DIE HÖCHSTE EISENBAHN - DIESES LEBEN,3
PHOENIX,6,BON IVER - EVERYTHING IS PEACEFUL LOVE,3
