Artist,Times Played,Artist - Song,Times Played
ROBIN SCHULZ & RITA ORA & TIAGO PZK,19,MAX GIESINGER & JOHANNES OERDING - WIMPERNSCHLAG,16
KYGO X AVA MAX,19,GLOCKENBACH FEAT. DECLAN J DONOVAN - BETTER DAYS,16
KYGO X ONEREPUBLIC,19,ZARTMANN - TAU MICH AUF,16
ALLE FARBEN & MAJESTIC,18,BILLIE EILISH - BIRDS OF A FEATHER,16
RIHANNA,18,GIANT ROOKS - SOMEBODY LIKE YOU,15
CAT BURNS,18,P!NK - RUNAWAY,15
LOST FREQUENCIES X BASTILLE,18,MARSHMELLO X P!NK X STING - DREAMING,15
PERSIA HOLDER,18,SIA - GIMME LOVE,14
JONAS BROTHERS,18,MICHAEL SCHULTE - BEAUTIFUL REASON,14
ARTEMAS,18,REA GARVEY - HALO,14
LEVKA,18,TAYLOR SWIFT - ANTI-HERO,14
LENA,17,RAYE FEAT. 070 SHAKE - ESCAPISM,14
KELLY CLARKSON,17,KRAFTKLUB - SCHIEF IN JEDEM CHOR,14
JUSTIN TIMBERLAKE,17,ALESSI ROSE - SAME MOUTH,14
ISAAK,17,SKAAR - MISSING OUT,14
TWENTY ONE PILOTS,17,SKUTH & BAC - ZU DEN ANDEREN,14
DAVID PUENTEZ,17,VELLA - ALL MY LOVE,13
GLOCKENBACH X TOM WALKER,17,CLUESO - DEJA VU,13
SEBASTIAN SCHUB,17,ALOK X SIGALA X ELLIE GOULDING - ALL BY MYSELF,13
GLOCKENBACH X CHRIS DE SARANDY,17,GLOCKENBACH X ELLA HENDERSON - LIFELINE,13
ALVARO SOLER X TOPIC,16,PROVINZ - GLAUBST DU,13
LIL NAS X,16,LEVKA - LANGSAM WARM,13
GLASS ANIMALS,16,SEBASTIAN SCHUB - BLISTERS & SUNBURN,13
MAX GIESINGER & JOHANNES OERDING,16,LIL NAS X - STAR WALKIN',12
SNOW PATROL,16,LEWIS CAPALDI - FORGET ME,12
GLOCKENBACH FEAT. DECLAN J DONOVAN,16,MARSHMELLO & JONAS BROTHERS - SLOW MOTION,12
KATY PERRY,16,CHAPPELL ROAN - THE SUBWAY,12
ZARTMANN,16,PICTURE THIS - GET ON MY LOVE,12
RED HOT CHILI PEPPERS,16,GLOCKENBACH FEAT. NORMA JEAN MARTINE - ANTHEM,12
BILLIE EILISH,16,ED SHEERAN - AZIZAM,11
TWOCOLORS,15,DERMOT KENNEDY - KISS ME,11
MADONNA,15,ÁSDÍS - TOUCH ME,11
BRUNO MARS,15,IGGI KELLY - HEARD IT ALL,11
KRAFTKLUB,15,COLDPLAY - FEELSLIKEIMFALLINGINLOVE,11
MARSHMELLO X P!NK X STING,15,ISAAK - HAPPY TEARS,11
THE KILLERS,14,LUVCAT - LOVE & MONEY,11
RAYE FEAT. 070 SHAKE,14,MALIK HARRIS - STICKS & STONES,11
JENNIFER LOPEZ,14,ADMT - COME ALONG,11
BTS,14,NOAH KAHAN - STICK SEASON,11
ALICIA KEYS,14,SHAWN MENDES - WHEN YOU'RE GONE,10
THUNDER JACKSON,14,SELENA GOMEZ - SINGLE SOON,10
SKAAR,14,CYRIL - STUMBLIN' IN,10
SKUTH & BAC,14,P!NK - NEVER GONNA NOT DANCE AGAIN,10
OLIVIA RODRIGO,14,MASTER KG FEAT. NOMCEBO ZIKODE - JERUSALEMA,10
STROMAE,13,CAMILA CABELLO - DON'T GO YET,10
ALOK X SIGALA X ELLIE GOULDING,13,SHOUSE - LOVE TONIGHT,10
JASON DERULO,13,LEONY - REMEDY,9
BLACK EYED PEAS,13,GIANT ROOKS - WATERSHED,9
GLOCKENBACH X ELLA HENDERSON,13,GAYLE - ABCDEFU,9
AVRIL LAVIGNE,13,STROMAE FEAT. POMME - MA MEILLEURE ENNEMIE,9
PROVINZ,13,ÁSDÍS - ANGEL EYES,9
CAMILA CABELLO,13,OLIVIA DEAN - DIVE,9
JORIS,13,BEYONCÉ FEAT. JAY-Z - CRAZY IN LOVE,9
ELLIE GOULDING,12,TOBY ROMEO X YOUNOTUS - WHAT IT FEELS LIKE,9
MARSHMELLO & JONAS BROTHERS,12,JONAS BROTHERS - WHAT A MAN GOTTA DO,9
R.E.M.,12,ADMT - FUCK YOU,9
GEORGE EZRA,12,SUPER-HI X NEEKA - FOLLOWING THE SUN,9
MICHAEL SCHULTE X R3HAB,12,TWENTY ONE PILOTS - LEVEL OF CONCERN,9
RAY DALTON,12,REGARD & RAYE - SECRETS,9
NATASHA BEDINGFIELD,12,JORIS - DAS LEBEN IST...,9
LENNY KRAVITZ,12,JC STEWART - I NEED YOU TO HATE ME,8
PICTURE THIS,12,TWOCOLORS - HEAVY METAL LOVE,8
GLOCKENBACH FEAT. NORMA JEAN MARTINE,12,MARC ATLAS - FOOL,8
ZOE WEES,11,JAX JONES & CALUM SCOTT - WHISTLE,8
AMY WINEHOUSE,11,MICHAEL PATRICK KELLY - BEAUTIFUL MADNESS,8
MANDO DIAO,11,MARK FORSTER - ÜBERMORGEN,8
TONES AND I,11,DAVINA MICHELLE - NO ONE SAID IT WAS EASY,8
SELENA GOMEZ,11,JUSTIN WELLINGTON FEAT. SMALL JAM - IKO IKO,8
SUGABABES,11,DERMOT KENNEDY - GIANTS,8
IGGI KELLY,11,COLDPLAY X BTS - MY UNIVERSE,8
LUVCAT,11,TONES AND I - UR SO F**KING COOL,8
MALIK HARRIS,11,HUGEL X TOPIC X ARASH FEAT. DAECOLM - I ADORE YOU,8
FREYA RIDINGS,11,FREYA RIDINGS - WEEKENDS,8
NOAH KAHAN,11,ÁLVARO SOLER - MAGIA,8
ANASTACIA,11,IMAGINE DRAGONS X J.I.D - ENEMY,8
MICHAEL BUBLÉ,10,ALEX WARREN WITH JELLY ROLL - BLOODLINE,8
GREEN DAY,10,ELTON JOHN & BRITNEY SPEARS - HOLD ME CLOSER,8
AMY MACDONALD,10,DAVID GUETTA X ALPHAVILLE X AVA MAX - FOREVER YOUNG,8
WIR SIND HELDEN,10,OLIVIA RODRIGO - GOOD 4 U,8
MICHAEL JACKSON,10,FELIX JAEHN & SHOUSE - WALK WITH ME,8
CYRIL,10,JAX JONES X ZOE WEES - NEVER BE LONELY,8
MASTER KG FEAT. NOMCEBO ZIKODE,10,TATE MCRAE - SHE'S ALL I WANNA BE,7
MÅNESKIN,10,BENSON BOONE - BEAUTIFUL THINGS,7
SHOUSE,10,LOI - LEFT IN YOUR LOVE,7
SILBERMOND,10,LENA - LOOKING FOR LOVE,7
ANDREAS BOURANI,9,MICHAEL SCHULTE - BROKEN SUNSHINE,7
WINCENT WEISS,9,TWOCOLORS - LOVEFOOL,7
TOM GREGORY,9,THE KID LAROI & JUSTIN BIEBER - STAY,7
GAYLE,9,ALEX WARREN - ETERNITY,7
STROMAE FEAT. POMME,9,HARRY STYLES - WATERMELON SUGAR,7
COLBIE CAILLAT,9,MILKY CHANCE - SYNCHRONIZE,7
PINK,9,TEDDY SWIMS - GUILTY,7
OLIVIA DEAN,9,ONEREPUBLIC - BEAUTIFUL COLORS,7
ZAZ,9,LOST FREQUENCIES - LOVE IS THE ONLY THING,7
BEYONCÉ FEAT. JAY-Z,9,LOST FREQUENCIES X ELLEY DUHÉ X X AMBASSADORS - BACK TO YOU,7
MUMFORD & SONS,9,BTS - DYNAMITE,7
