Artist,Times Played,Artist - Song,Times Played
AVRIL LAVIGNE,9,PINK - RUNAWAY,6
PURPLE DISCO MACHINE X THE MAGICIAN,9,ERASURE - SOMETIMES,6
BRUNO MARS,9,MICHAEL SCHULTE X R3HAB - WATERFALL,6
ANASTACIA,9,TEDDY SWIMS - LOSE CONTROL,6
DAVID GUETTA & ONEREPUBLIC,9,ROSA LINN - SNAP,6
GLOCKENBACH X CHRIS DE SARANDY,9,NAUGHTY BOY FEAT. SAM SMITH - LA LA LA,6
SOMBR,9,PURPLE DISCO MACHINE X ASDIS - BEAT OF YOUR HEART,6
AVICII & ELLE KING,9,SHAWN MENDES - WHEN YOU'RE GONE,6
BON JOVI,9,GLOCKENBACH X TOM WALKER - HOME,6
TAKE THAT,9,LINKIN PARK - LOST,6
KENYA GRACE,8,YOUNOTUS FEAT. LAURELL - ALL IN,6
MAROON 5,8,RAF FAST BOY - WAVE,6
SUGABABES,8,ISAAK - ALWAYS ON THE RUN,6
BEYONCÉ,8,KWABS - WALK,6
U2,8,JOHANNES OERDING - KREISE,6
CHAPPELL ROAN,8,COLDPLAY X BTS - MY UNIVERSE,6
CARLY RAE JEPSEN,8,ALLE FARBEN & MAJESTIC - FROM DISCO TO DISCO,5
CLUESO,8,KAMRAD - I BELIEVE,5
TATE MCRAE,8,AVA MAX - KINGS & QUEENS,5
MAX GIESINGER,8,MICHAEL SCHULTE - BEAUTIFUL REASON,5
ÁSDÍS,8,ASDIS - ANGEL EYES,5
MARK FORSTER,8,NICO SANTOS - RAY OF LIGHT,5
LENA,8,WESTLIFE - MANDY,5
PHIL COLLINS,8,DUA LIPA - TRAINING SEASON,5
ALICIA KEYS,8,HARRY STYLES - AS IT WAS,5
FELIX JAEHN X JHART,8,ALL SAINTS - PURE SHORES,5
SHABOOZEY,7,JUSTIN WELLINGTON FEAT. SMALL JAM - IKO IKO,5
KELLY CLARKSON,7,ALPHAVILLE DAVID GUETTA & AVA MAX - FOREVER YOUNG,5
