Artist,Times Played,Artist - Song,Times Played
GENESIS,12,DUA LIPA - HOUDINI,8
WHITNEY HOUSTON,12,ÁSDÍS - ANGEL EYES,8
TATE MCRAE,11,AVA MAX - MAYBE YOU'RE THE PROBLEM,8
REA GARVEY,11,COLDPLAY - FEELSLIKEIMFALLINGINLOVE,8
OASIS,11,NICO SANTOS - HUMAN BEING,7
"HUGEL, TOPIC, ARASH FEAT. DAEC",11,GLOCKENBACH X ELLA HENDERSON - LIFELINE,7
BRYAN ADAMS,11,FELIX JAEHN & RAY DALTON - CALL IT LOVE,7
GRACIE ABRAMS,11,CLEAN BANDIT - RATHER BE,7
ONEREPUBLIC,11,ONEREPUBLIC - RUNAWAY,7
"COLDPLAY, LITTLE SIMZ, BURNA B",11,GLOCKENBACH FEAT. ÁSDÍS - DIRTY DANCING,7
BILLIE EILISH,10,SAM FELDT FEAT. RANI - POST MALONE,7
MEDUZA X JAMES CARTER FEAT. EL,10,OFENBACH & ELLA HENDERSON - HURRICANE,7
MARSHMELLO X P!NK X STING,10,ERIC PRYDZ - CALL ON ME,7
MARK AMBOR,10,MICHAEL PATRICK KELLY X RAKIM - WONDERS,7
MALIK HARRIS,10,MARK FORSTER - SOWIESO,7
TIËSTO & TATE MCRAE,10,REGARD - RIDE IT,7
TINA TURNER,10,KATE BUSH - RUNNING UP THAT HILL,7
BILLY JOEL,10,BENSON BOONE - BEAUTIFUL THINGS,6
ZARA LARSSON,10,NICO SANTOS - RAY OF LIGHT,6
ALLE FARBEN & MOSS KENA,10,LOUD LUXURY FEAT. BRANDO - BODY,6
"ALVARO SOLER, TOPIC",9,JOEL CORRY FEAT. MNEK - HEAD & HEART,6
TOBY ROMEO & YOUNOTUS,9,OASIS - WONDERWALL,6
SAM TOMPKINS,9,LIL NAS X - THATS WHAT I WANT,6
ALICIA KEYS,9,NEK - LAURA NON C'È,6
NELLY FURTADO,9,COLDPLAY FEAT. BTS - MY UNIVERSE,6
JASON DERULO,9,NIK KERSHAW - WOULDN'T IT BE GOOD,6
TOM GREGORY,9,PHIL COLLINS - YOU CAN'T HURRY LOVE,6
MICHAEL SCHULTE X R3HAB,9,THE SCRIPT - SUPERHEROES,6
"TOPIC, A7S",9,ELTON JOHN - I'M STILL STANDING,6
FLO RIDA,9,IGGI KELLY - HEARD IT ALL,6
AEROSMITH,9,NICKELBACK - AFTER THE RAIN,6
MR. BIG,9,GEORGE EZRA - BLAME IT ON ME,6
U 2,9,AVICII - HEY BROTHER,6
