Artist,Times Played,Artist - Song,Times Played
JAN-CHRISTIAN ZELLER,83,ZERB - MWAKI,57
CHRIS DE SARANDY,82,ARTEMAS - I LIKE THE WAY YOU KISS ME,57
TOKIO HOTEL,81,THE MAGICIAN PURPLE DISCO MACHINE - ALL MY LIFE,56
JESS GLYNNE,80,GLOCKENBACH - MAGIC MOMENT,56
KYGO,79,CHRIS DE SARANDY - MAGIC MOMENT,56
CASSÖ,76,NILE RODGERS - HONEY BOY,56
D-BLOCK EUROPE,76,SHENSEEA - HONEY BOY,56
NORMA JEAN MARTINE,76,BAD BUNNY - DTMF,56
SWEDISH HOUSE MAFIA,75,HUGEL - I ADORE YOU,55
$OHO BANI,75,TOPIC - I ADORE YOU,55
HERBERT GRÖNEMEYER,75,BENJAMIN INGROSSO PURPLE DISCO MACHINE - HONEY BOY,55
01099,72,ARASH - I ADORE YOU,55
SNOOP DOGG,71,DAECOLM - I ADORE YOU,55
J BALVIN,71,VANCO - MA TNSANI (YALLA HABIBI),55
YEARS,70,AYA - MA TNSANI (YALLA HABIBI),55
BLACK EYED PEAS,70,HOZIER - TOO SWEET,55
RITA ORA,70,BLACKPINK - JUMP,54
OLIVIA RODRIGO,70,DASHA - AUSTIN,53
MR. BELT,69,"CHAPPELL ROAN - GOOD LUCK, BABE!",52
WEZOL,69,DUA LIPA - ILLUSION,52
KENYA GRACE,69,YEARS - KING,52
ELLIE GOULDING,68,BRUNO MARS - APT.,51
HARRY STYLES,66,TEDDY SWIMS - BAD DREAMS,51
KATY PERRY,66,ROSÉ - APT.,51
ZARTMANN,65,SOPHIE AND THE GIANTS - SHUT UP AND DANCE,51
SOFIYA NZAU,65,DJ SNAKE - PARADISE,49
LOI,65,BIPOLAR SUNSHINE - PARADISE,49
HOZIER,64,JAXOMY - PEDRO,49
TAIO CRUZ,63,AGATINO ROMERO - PEDRO,49
KEHLANI,63,RAFFAELLA CARRÀ - PEDRO,49
DAECOLM HUGEL,63,ROBIN SCHULZ - I'LL BE THERE,48
SOPHIE AND THE GIANTS,63,RITA ORA - I'LL BE THERE,48
,63,TIAGO PZK - I'LL BE THERE,48
IMAGINE DRAGONS,62,PURPLE DISCO MACHINE - BEAT OF YOUR HEART,48
DAFT PUNK,62,ÁSDÍS - BEAT OF YOUR HEART,48
CLEAN BANDIT,61,GLOCKENBACH - LIFELINE,47
TIËSTO,60,ELLA HENDERSON - LIFELINE,47
USHER,60,ZARTMANN - TAU MICH AUF,47
STRYV ADAM PORT,60,GIANT ROOKS - SOMEBODY LIKE YOU,47
THE CHAINSMOKERS,60,COLDPLAY - FEELSLIKEIMFALLINGINLOVE,46
LORDE,60,TEDDY SWIMS - LOSE CONTROL,45
SHENSEEA,59,NINA CHUBA - FUCKED UP,45
SHOUSE,59,MAKKO - FUCKED UP,45
BADCHIEFF,59,MARK AMBOR - BELONG TOGETHER,45
ELYANNA LITTLE SIMZ,59,KYGO - WHATEVER,43
TINI,59,AVA MAX - WHATEVER,43
NILE RODGERS,58,MK - DIOR,43
ZERB,58,CHRYSTAL - DIOR,43
KESHA,57,LINKIN PARK - THE EMPTINESS MACHINE,42
TWOCOLORS,57,CHRYSTAL - THE DAYS (NOTION REMIX),42
ARTEMAS,57,LOI - THE WAY I WANT IT,42
ÁSDÍS,57,JAZZY - SOMEDAYS,42
THE MAGICIAN PURPLE DISCO MACHINE,56,D.O.D SONNY FODERA - SOMEDAYS,42
MAJOR LAZER,56,SHIMZA - FIRE FIRE,42
TOM ODELL,56,AR - FIRE FIRE,42
DASHA,56,CO - FIRE FIRE,42
JAZZY,56,KASANGO - FIRE FIRE,42
BIPOLAR SUNSHINE,56,NICO SANTOS - RAY OF LIGHT,41
BENJAMIN INGROSSO PURPLE DISCO MACHINE,55,CRO - SO HEISS,41
ARASH,55,LAUV - I LIKE ME BETTER,41
VANCO,55,BL3SS - KISSES,41
AYA,55,CAMRINWATSIN - KISSES,41
BBYCLOSE,54,BBYCLOSE - KISSES,41
BLACKPINK,54,BENNETT - VOIS SUR TON CHEMIN (TECHNO MIX),41
MØ,53,01099 - SO HEISS,41
KUNGS,52,JONAS BLUE - EDGE OF DESIRE,39
JONAS BLUE,51,MILLENIUMKID - VIELLEICHT VIELLEICHT,39
CHARLIE PUTH,51,JBS - VIELLEICHT VIELLEICHT,39
DERMOT KENNEDY,51,MALIVE - EDGE OF DESIRE,39
ROSÉ,51,ZARA LARSSON - MEMORY LANE,39
ONEREPUBLIC,51,BEES WIZTHEMC - TAKE MY MIND*,38
PETER FOX,50,HONEY - TAKE MY MIND*,38
LEONY,50,LOLA YOUNG - ONE THING,38
GIANT ROOKS,50,IMANBEK - BELLY DANCER,38
FLO RIDA,50,BYOR - BELLY DANCER,38
SIRA,50,SOMBR - 12 TO 12,36
MK,49,FELIX JAEHN - WALK WITH ME,36
JAXOMY,49,RIHANNA - ONLY GIRL (IN THE WORLD),36
AGATINO ROMERO,49,SHOUSE - WALK WITH ME,36
RAFFAELLA CARRÀ,49,JAMES HYPE - WATERFALLS,36
A7S,48,JAX JONES - NEVER BE LONELY,36
TIAGO PZK,48,ZOE WEES - NEVER BE LONELY,36
AYLIVA,48,NINA CHUBA - FUCKED UP*,35
ZOE WEES,48,MAKKO - FUCKED UP*,35
MARTERIA,48,GREEEN - PANAMA,35
LINKIN PARK,47,LORDE - WHAT WAS THAT,35
LIL NAS X,47,ZEDD - STAY THE NIGHT,34
TWENTY ONE PILOTS,47,HAYLEY WILLIAMS OF PARAMORE - STAY THE NIGHT,34
MACKLEMORE,47,AVA MAX - FOREVER YOUNG,34
RYAN LEWIS,47,CHAPPELL ROAN - PINK PONY CLUB,34
BL3SS,46,ALPHAVILLE DAVID GUETTA - FOREVER YOUNG,34
MILLENIUMKID,45,JESS GLYNNE - MY LOVE,34
JBS,45,DRAKE - ONE DANCE,34
MARK AMBOR,45,WIZKID - ONE DANCE,34
TY DOLLA $IGN,44,KAROL G - SI ANTES TE HUBIERA CONOCIDO,34
BAUSA,43,ROUTE 94 - MY LOVE,34
BENNETT,43,TYLA - WATER,34
MANU CHAO,42,KYLA - ONE DANCE,34
