Artist,Times Played,Artist - Song,Times Played
MAIN,34,THE BLACK KEYS - ON REPEAT,23
REMI WOLF,33,DILLA - MEIN SCHÖNSTES KLEID,21
MAKKO,33,OLIVIA DEAN - MAN I NEED,20
METRONOMY,32,ROYEL OTIS - SAY SOMETHING,19
SLOE NOON,32,POWER PLUSH - ACTING IN A WAY,19
DAYGLOW,31,TYLER THE CREATOR - SUGAR ON MY TONGUE,19
BANKS,31,CLOUDY JUNE - VITAMIN,18
SPARKLING,30,LITTLE SIMZ - ONLY,18
BETTEROV,30,LYDIA KITTO - ONLY,18
BIIG PIIG,29,TYLER THE CREATOR - RING RING RING,18
HINDS,29,VENBEE - NEW BODY PARTS,18
SHELTER BOY,29,CAVETOWN - BABY SPOON,18
LITTLE SIMZ,28,DILLA - ANGST,17
TWO DOOR CINEMA CLUB,28,BETTEROV - SO HIGH,17
CHANNEL TRES,28,AUDREY HOBERT - SUE ME,17
JUSTICE,27,"THE WOMBATS - SORRY I'M LATE, I DIDN'T WANT TO COME",16
DJO,27,BABY OF THE BUNCH - SLUTFIRE,16
ANDERSON .PAAK,27,BLACK HONEY - TO THE GRAVE,16
BLACK HONEY,27,JUSTICE - NEVERENDER,15
CAUTIOUS CLAY,27,TAME IMPALA - NEVERENDER,15
AURORA,27,THE MOVING STILLS - CAN'T BE LIKE THIS FOREVER,15
WINSTON SURFSHIRT,26,CHANNEL TRES - ASPEN,15
POWER PLUSH,26,TORO Y MOI - ASPEN,15
KITSCHKRIEG,25,CONNOR PRICE - NOW WHAT?,15
LEONIDEN,25,SHELTER BOY - YOUR FAVOURITE SONG,15
SAMPHA,25,OSCAR AND THE WOLF - SOMEBODY WITHOUT U,14
CHARLI XCX,25,PAULWETZ - WILL NOCH NICHT HEIM,14
OLIVIA DEAN,25,METRONOMY - PETIT BOY,14
GIANT ROOKS,24,PORTUGAL. THE MAN - GLIDE,14
ÄTNA,24,PORIJ - PETIT BOY,14
FRIEDBERG,24,NEIKED - GLIDE,14
PORTUGAL. THE MAN,24,CHARLI XCX - VON DUTCH,14
FRED AGAIN,24,MOGLII - LANTERN FIISH,13
BILLIE EILISH,24,NOGA EREZ - AYAYAY,13
AMILLI,24,DAÐI FREYR - I DON'T WANNA TALK,13
COLDPLAY,24,HATAAH - LANTERN FIISH,13
BOMBAY BICYCLE CLUB,24,DJO - BASIC BEING BASIC,13
NILÜFER YANYA,23,YOUNG FRANCO - GOING ON,13
PIXEY,23,PIRI - GOING ON,13
PAULA HARTMANN,22,MC DT - GOING ON,13
OSCAR AND THE WOLF,21,DILLOM - AYAYAY,13
DAÐI FREYR,21,JVKE - CLOUDS,13
JEREMIAS,21,WIZTHEMC - SHOW ME LOVE,12
BABY OF THE BUNCH,21,NOGA EREZ - VANDALIST,12
BILDERBUCH,21,JUNGLE - KEEP ME SATISFIED,12
NOVAA,21,DAYGLOW - COCOON,12
BLUSH ALWAYS,21,ALFIE TEMPLEMAN - HELLO LONELY,12
CIRCA WAVES,21,FRED AGAIN - PLACES TO BE,12
VENBEE,21,ANDERSON .PAAK - PLACES TO BE,12
SAM FENDER,20,YOUNG FRANCO - LOSE CONTROL,12
BRUCKNER,20,EARTHGANG - LOSE CONTROL,12
LUNA MORGENSTERN,20,JAFUNK - LOSE CONTROL,12
CHLOE SLATER,20,DOECHII - ANXIETY,12
JOY CROOKES,20,CIRCA WAVES - LET'S LEAVE TOGETHER,12
ROOSEVELT,19,HALF•ALIVE - AUTOMATIC,12
LEYYA,19,GIANT ROOKS - MIND CONTROL,11
JOESEF,19,JUNGLE - LET'S GO BACK,11
LYDIA KITTO,18,ÄTNA - LUCKY DANCER,11
PORIJ,18,TWO DOOR CINEMA CLUB - HAPPY CUSTOMERS,11
ARCTIC MONKEYS,18,DAYGLOW - EVERY LITTLE THING I SAY I DO,11
JVKE,18,GIRL IN RED - NEW LOVE,11
RIKAS,18,DJO - LINK,11
TRETTMANN,18,ORLA GARTLAND - LITTLE CHAOS,11
CASSIA,18,FRIEDBERG - HELLO,11
PINKPANTHERESS,18,ALFIE TEMPLEMAN - SUBMARINE,11
PROVINZ,18,BIIG PIIG - DECIMAL,11
FLORENCE + THE MACHINE,18,ANDERSON .PAAK - FAVORITE,11
CAVETOWN,18,LEONIDEN - KEEP FUCKING UP,11
LONDON GRAMMAR,17,HINDS - BOOM BOOM BACK,11
YUKNO,17,GLASS ANIMALS - CREATURES IN HEAVEN,11
TORO Y MOI,17,CHLÖE - FAVORITE,11
DOECHII,17,BECK - BOOM BOOM BACK,11
ARLO PARKS,17,CHLOE SLATER - FIG TREE,11
MINE,17,PIXEY - MILLION DOLLAR BABY,11
AUDREY HOBERT,17,JOESEF - STEPHANIE'S PLACE,11
NOTHING BUT THIEVES,17,PROVINZ - SOMMER MACHT MELANCHOLISCH,11
G FLIP,16,MISO EXTRA - POP,10
PHILINE SONNY,16,REMI WOLF - CINDERELLA,10
FOALS,16,"NOGA EREZ - SAD GENERATION, HAPPY PICTURES",10
DJANGO DJANGO,16,MASTER PEACE - SAVE ME,10
LANA DEL REY,16,ZARTMANN - EEHHHYYY,10
CATT,16,ZARTMANN - TAU MICH AUF,10
APSILON,16,YUMI ZOUMA - BLISTER,10
BON IVER,15,GOOD NEIGHBOURS - KEEP IT UP,10
K.FLAY,15,ÄTNA - HIATUS,10
PURITY RING,15,THE WOMBATS - CAN'T SAY NO,10
CONNOR PRICE,15,ANAÏS - 99 SORGEN,10
THE STREETS,15,ORLA GARTLAND - THE HIT,10
LA ROUX,15,LP GIOBBI - BITTERSWEET,10
DECLAN MCKENNA,15,PORTUGAL. THE MAN - BITTERSWEET,10
LINKIN PARK,15,BILLIE EILISH - LUNCH,10
LOYLE CARNER,15,THE AMAZONS - NIGHT AFTER NIGHT,10
KENDRICK LAMAR,15,BANKS - MAKE IT UP,10
EVERYTHING EVERYTHING,15,SAMPHA - MAKE IT UP,10
ALT-J,15,JOY CROOKES - SOMEBODY TO YOU,10
UPSAHL,14,MONTAIGNE - EVERYBODY ELSE,10
LP GIOBBI,14,"FLYANA BOSS - SAD GENERATION, HAPPY PICTURES",10
NEIKED,14,BON JOUR - LEGO,10
BEABADOOBEE,14,DIJON - YAMAHA,10
MAC MILLER,14,MAJAN - 99 SORGEN,10
FATONI,14,ENDZONE - 99 SORGEN,10
PIRI,14,REMI WOLF - PITIFUL,9
BECK,14,AITCH - LUV?,9
FIL BO RIVA,14,ANNE-MARIE - LUV?,9
COURTNEY BARNETT,14,DIE HÖCHSTE EISENBAHN - BÜROTAGE,9
SG LEWIS,14,SPARKLING - NOBODY,9
JORJA SMITH,13,SAM FENDER - LITTLE BIT CLOSER,9
CHVRCHES,13,MASTER PEACE - HOME,9
HATAAH,13,LONDON GRAMMAR - HOUSE,9
AMY WINEHOUSE,13,BIIG PIIG - FAVOURITE GIRL,9
MC DT,13,SOMBR - BACK TO FRIENDS,9
BBY,13,BILLIE EILISH - BIRDS OF A FEATHER,9
DILLOM,13,WALE - HOME,9
JAFUNK,13,BLUSH ALWAYS - JUST KEEP SWIMMING,9
MUSE,13,CHLOE SLATER - SUCKER,9
AB SYNDROM,13,NAO YOSHIOKA - MY LOVE,9
BLINK-182,13,JARREAU VANDAL - MY LOVE,9
BLUMENGARTEN,13,MALLRAT AND KITO - HOCUS POCUS,9
ROSALÍA,13,ILLUMINATI HOTTIES - THE L,9
KAKKMADDAFAKKA,12,JULIE KUHL - PURPLE EYELIDS,9
TOM ODELL,12,WILLOW - RUN!,9
YUMI ZOUMA,12,HARD LIFE - OTHELLO,8
THE 1975,12,LOLA YOUNG - FLICKER OF LIGHT,8
THE TEMPER TRAP,12,SAM FENDER - PEOPLE WATCHING,8
GIIRL,12,PHILINE SONNY - IN DENIAL,8
BOY,12,CLAIRO - THANK YOU,8
LAUREL,12,THE LATHUMS - STELLAR CAST,8
J. BERNARDT,12,GOOD NEIGHBOURS - RIPPLE,8
JAKE BUGG,12,GIRL IN RED - YOU NEED ME NOW?,8
EARTHGANG,12,SABRINA CARPENTER - YOU NEED ME NOW?,8
WOODKID,12,THE MARÍAS - RUN YOUR MOUTH,8
PHOENIX,12,ORLA GARTLAND - LATE TO THE PARTY,8
PANTHA,12,FRIEDBERG - SO DOPE,8
DOMINIK HARTZ,12,POM POM SQUAD - STREET FIGHTER,8
JULIE KUHL,12,ALFIE TEMPLEMAN - JUST A DANCE,8
HALF•ALIVE,12,LEYYA - PUMPED UP HIGH,8
TRÄNEN,12,HINDS - SUPERSTAR,8
ALICE PHOEBE LOU,12,RAVYN LENAE - LOVE ME NOT,8
MY UGLY CLEMENTINE,12,NILE RODGERS - JUST A DANCE,8
JISKA,12,ROSE GRAY - FREE,8
BEACH BUNNY,12,PURITY RING - MANY LIVES,8
MARTERIA,12,BANKS - MOVE,8
MISO EXTRA,11,BLUSH ALWAYS - FOND OF HER,8
C'EST KARMA,11,AB SYNDROM - BLINDFLUG,8
SOHN,11,TRILLE - BLINDFLUG,8
DRANGSAL,11,SIGGI - MONTAG,8
EDWIN ROSEN,11,JOY CROOKES - I KNOW YOU'D KILL,8
VON WEGEN LISBETH,11,PAULA HARTMANN - GRAU,8
MILLENIUMKID,11,CHARLI XCX - I THINK ABOUT IT ALL THE TIME,8
MALLRAT,11,BUSH.IDA - KLAGE,8
STROMAE,11,DECLAN MCKENNA - LATE TO THE PARTY,8
STILL WOOZY,11,CATT - JUNGLE OF ABUNDANCE,8
CHLÖE,11,KATE KLEIN - STUCK,8
WE ARE SCIENTISTS,11,APSILON - GRAU,8
THE AMAZONS,11,YSEULT - MOVE,8
MAVI PHOENIX,11,AURORA - TO BE ALRIGHT,8
GENTLEMAN,11,THE LINDA LINDAS - ONCE UPON A TIME,8
TRILLE,11,DILLA - AUTOPILOT,7
ANNENMAYKANTEREIT,11,LOLA YOUNG - BIG BROWN EYES,7
SIGGI,11,LOLA YOUNG - MESSY,7
NAO YOSHIOKA,11,REMI WOLF - TORO,7
ILLUMINATI HOTTIES,11,HAIM - DOWN TO BE WRONG,7
SYLVAN ESSO,11,LORDE - WHAT WAS THAT?,7
MAXIMO PARK,11,MØ - SWEET,7
OK KID,11,PAULWETZ - NUR FÜR EINE NACHT,7
FRAEN,11,THE BEACHES - LESBIAN OF THE YEAR,7
BBNO$,11,GIRL IN RED - DOING IT AGAIN BABY,7
